example_id,section_title,code_text,line_count,contains_find_all,contains_find,contains_select,contains_get_text,contains_requests
ex_25,Multi-valued attributes ¶,"doc = BeautifulSoup(""<document><content/>INSERT FOOTER HERE</document"", ""xml"")
footer = BeautifulSoup(""<footer>Here's the footer</footer>"", ""xml"")
doc.find(text=""INSERT FOOTER HERE"").replace_with(footer)
# 'INSERT FOOTER HERE'
print(doc)
# <?xml version=""1.0"" encoding=""utf-8""?>
# <document><content/><footer>Here's the footer</footer></document>",1,False,True,False,False,False
ex_26,Multi-valued attributes ¶,"soup.name
# '[document]'",1,False,False,False,False,False
ex_27,Special strings ¶,"markup = ""<b><!--Hey, buddy. Want to buy a used parser?--></b>""
soup = BeautifulSoup(markup, 'html.parser')
comment = soup.b.string
type(comment)
# <class 'bs4.element.Comment'>",1,False,False,False,False,False
ex_28,Special strings ¶,"comment
# 'Hey, buddy. Want to buy a used parser'",1,False,False,False,False,False
ex_29,Special strings ¶,"print(soup.b.prettify())
# <b>
#  <!--Hey, buddy. Want to buy a used parser?-->
# </b>",1,False,False,False,False,False
ex_30,Navigating the tree ¶,"html_doc = """"""
<html><head><title>The Dormouse's story</title></head>
<body>
<p class=""title""><b>The Dormouse's story</b></p>

<p class=""story"">Once upon a time there were three little sisters; and their names were
<a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>,
<a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and
<a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>;
and they lived at the bottom of a well.</p>

<p class=""story"">...</p>
""""""

from bs4 import BeautifulSoup
soup = BeautifulSoup(html_doc, 'html.parser')",1,False,False,False,False,False
ex_31,Navigating using tag names ¶,"soup.find(""head"")
# <head><title>The Dormouse's story</title></head>",1,False,True,False,False,False
ex_32,Navigating using tag names ¶,"soup.head
# <head><title>The Dormouse's story</title></head>

soup.title
# <title>The Dormouse's story</title>",1,False,False,False,False,False
ex_33,Navigating using tag names ¶,"soup.body.b
# <b>The Dormouse's story</b>",1,False,False,False,False,False
ex_34,Navigating using tag names ¶,"soup.a
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>",1,False,False,False,False,False
ex_35,Navigating using tag names ¶,"soup.find_all('a')
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_36,.contents and .children ¶,"head_tag = soup.head
head_tag
# <head><title>The Dormouse's story</title></head>

head_tag.contents
# [<title>The Dormouse's story</title>]

title_tag = head_tag.contents[0]
title_tag
# <title>The Dormouse's story</title>
title_tag.contents
# ['The Dormouse's story']",1,False,False,False,False,False
ex_37,.contents and .children ¶,"len(soup.contents)
# 1
soup.contents[0].name
# 'html'",1,False,False,False,False,False
ex_38,.contents and .children ¶,"text = title_tag.contents[0]
text.contents
# AttributeError: 'NavigableString' object has no attribute 'contents'",1,False,False,False,False,False
ex_39,.contents and .children ¶,"for child in title_tag.children:
    print(child)
# The Dormouse's story",1,False,False,False,False,False
ex_40,.descendants ¶,"head_tag.contents
# [<title>The Dormouse's story</title>]",1,False,False,False,False,False
ex_41,.descendants ¶,"for child in head_tag.descendants:
    print(child)
# <title>The Dormouse's story</title>
# The Dormouse's story",1,False,False,False,False,False
ex_42,.descendants ¶,"len(list(soup.children))
# 1
len(list(soup.descendants))
# 26",1,False,False,False,False,False
ex_43,.string ¶,"title_tag.string
# 'The Dormouse's story'",1,False,False,False,False,False
ex_44,.string ¶,"head_tag.contents
# [<title>The Dormouse's story</title>]

head_tag.string
# 'The Dormouse's story'",1,False,False,False,False,False
ex_45,.string ¶,"print(soup.html.string)
# None",1,False,False,False,False,False
ex_46,.strings and stripped_strings ¶,"for string in soup.strings:
    print(repr(string))
    '\n'
# ""The Dormouse's story""
# '\n'
# '\n'
# ""The Dormouse's story""
# '\n'
# 'Once upon a time there were three little sisters; and their names were\n'
# 'Elsie'
# ',\n'
# 'Lacie'
# ' and\n'
# 'Tillie'
# ';\nand they lived at the bottom of a well.'
# '\n'
# '...'
# '\n'",11,False,False,False,False,False
